03_04_23_152953
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
17,0,5,28.4,1.78485,-0.892424,0.0722846
18,0,4,29.8,1.87283,-0.936417,0.0758479
19,0,5,31.2,1.96082,-0.98041,0.0794112
20,0,5,32.6,2.0488,-1.0244,0.0829745
21,0,4,34,2.13679,-1.0684,0.0865378
22,0,5,35.4,2.22478,-1.11239,0.0901012
23,0,7,36.8,2.31276,-1.15638,0.0936645
24,0,4,38.2,2.40075,-1.20037,0.0972278
25,0,5,39.6,2.48873,-1.24437,0.100791
26,0,5,41,2.57672,-1.28836,0.104354
27,0,7,42.4,2.6647,-1.33235,0.107918
28,0,6,43.8,2.75269,-1.37634,0.111481
29,0,5,45.2,2.84067,-1.42034,0.115044
30,0,6,46.6,2.92866,-1.46433,0.118608
31,0,6,48,3.01665,-1.50832,0.122171
32,0,5,49.4,3.10463,-1.55232,0.125734
33,0,6,50.8,3.19262,-1.59631,0.129298
34,0,7,52.2,3.2806,-1.6403,0.132861
35,0,6,53.6,3.36859,-1.68429,0.136424
36,0,5,55,3.45657,-1.72829,0.139988
37,0,6,56.4,3.54456,-1.77228,0.143551
38,0,8,57.8,3.63254,-1.81627,0.147114
39,0,9,59.2,3.72053,-1.86026,0.150678
40,0,2,60.6,3.80851,-1.90426,0.154241
41,0,12,62,3.8965,-1.94825,0.157804
42,0,5,63.4,3.98449,-1.99224,0.161368
43,0,5,64.8,4.07247,-2.03624,0.164931
44,0,11,66.2,4.16046,-2.08023,0.168494
45,0,3,67.6,4.24844,-2.12422,0.172058
46,0,-8,69,4.33643,-2.16821,0.175621
47,0,23,70.2,4.41184,-2.20592,0.178675
48,0,-12,71.6,4.49983,-2.24991,0.182239
49,0,19,72.8,4.57525,-2.28762,0.185293
50,0,11,74.2,4.66323,-2.33162,0.188856
51,0,0,75.6,4.75122,-2.37561,0.192419
52,0,2,77,4.8392,-2.4196,0.195983
53,0,16,78.2,4.91462,-2.45731,0.199037
54,0,3,79.6,5.0026,-2.5013,0.2026
55,0,-11,81,5.09059,-2.54529,0.206164
56,0,23,82.2,5.16601,-2.583,0.209218
57,0,5,83.6,5.25399,-2.627,0.212781
58,0,-10,85,5.34198,-2.67099,0.216345
59,0,18,86.2,5.41739,-2.7087,0.219399
60,0,35,87.4,5.49281,-2.7464,0.222453
61,0,-22,88.6,5.56823,-2.78411,0.225508
62,0,11,90,5.65621,-2.82811,0.229071
63,0,-5,91.4,5.7442,-2.8721,0.232634
64,0,-3,92.8,5.83218,-2.91609,0.236197
65,0,25,94,5.9076,-2.9538,0.239252
66,0,-2,95.4,5.99558,-2.99779,0.242815
67,0,15,96.8,6.08357,-3.04178,0.246378
68,0,-10,96.8,14.6006,-7.30028,0.591308
68,0,-15,96.8,14.6006,-7.30028,0.591308
08_06_23_105458
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,1.20547,0,0.203185
1,0,-486,6,1.44656,-0.72328,0.243822
2,0,33,7.2,1.73587,-0.867936,0.292587
3,0,8,8.6,2.0734,-1.0367,0.349478
4,0,13,10,2.41093,-1.20547,0.40637
5,0,14,11.4,2.74846,-1.37423,0.463262
6,0,15,12.8,3.08599,-1.543,0.520154
7,0,17,14,3.37531,-1.68765,0.568918
8,0,16,15.2,3.66462,-1.83231,0.617683
9,0,11,16.6,4.00215,-2.00107,0.674574
